title,description,priority,label,epic
PIN bcrypt do Modo Operação,Helper + CRUD em configurações (owner only),medium,backend,Épico 8 - Realtime + Op + PWA
Wake Lock helper + toggle do Modo Operação,"localStorage + requestWakeLock",medium,frontend,Épico 8 - Realtime + Op + PWA
PinGate para sair do Modo Operação,Modal com verifyOperationPin server action,medium,frontend,Épico 8 - Realtime + Op + PWA
CSS Modo Operação esconde menus,"body[data-operation=on] [data-hide-in-operation-mode]",low,frontend,Épico 8 - Realtime + Op + PWA
Service Worker mínimo,public/sw.js com cache-first para estáticos,medium,frontend,Épico 8 - Realtime + Op + PWA
Install prompt (Android beforeinstallprompt),Component client com CTA,medium,frontend,Épico 8 - Realtime + Op + PWA
Ícones default 192/512,Placeholders em public/icons,low,frontend,Épico 8 - Realtime + Op + PWA
Sanity check final do épico 8,Tudo verde,high,test,Épico 8 - Realtime + Op + PWA
Migration 0022 — audit_log,Tabela com policies de leitura,high,migration,Épico 9 - Audit + Hardening
Migration 0023 — audit triggers,"Trigger genérico em appointments/tenants/user_profiles/plans",high,migration,Épico 9 - Audit + Hardening
Headers de segurança no Next,"CSP, HSTS, X-Frame-Options, Referrer-Policy, Permissions-Policy",high,security,Épico 9 - Audit + Hardening
Error boundary global + ErrorCard,app/error.tsx + componente reutilizável,medium,frontend,Épico 9 - Audit + Hardening
Rate limit básico no login,5 tentativas/min por IP+email (in-memory),medium,security,Épico 9 - Audit + Hardening
Backup semanal via GitHub Actions,pg_dump → Cloudflare R2 com cron,medium,infra,Épico 9 - Audit + Hardening
E2E regressão — onboarding,Platform admin cria tenant + convida owner,medium,test,Épico 9 - Audit + Hardening
E2E regressão — booking flow,Wizard público até horário,medium,test,Épico 9 - Audit + Hardening
E2E regressão — status transitions,Staff faz check-in via botão,medium,test,Épico 9 - Audit + Hardening
README atualizado (observabilidade/backup/segurança),Documentar audit_log + backup + CSP,low,docs,Épico 9 - Audit + Hardening
Sanity check final — Fase 1 completa,"lint+typecheck+test+pgTAP+e2e+build, tag v0.1.0-fase1",high,test,Épico 9 - Audit + Hardening
